Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,
5,AKAZE,BRIEF,MAT_BF,SEL_KNN,110.191,1347,164,1.69228,0.728577,134,
6,AKAZE,BRIEF,MAT_BF,SEL_KNN,107.22,1363,173,0.901488,0.784977,146,
7,AKAZE,BRIEF,MAT_BF,SEL_KNN,113.205,1331,175,0.901743,0.854057,150,
8,AKAZE,BRIEF,MAT_BF,SEL_KNN,109.826,1357,177,0.94766,0.812604,148,
9,AKAZE,BRIEF,MAT_BF,SEL_KNN,110.894,1331,179,0.911623,0.827491,152,

0,AKAZE,ORB,MAT_BF,SEL_KNN,111.469,1351,166,3.30831,4.94066e-324,-1310888880,
1,AKAZE,ORB,MAT_BF,SEL_KNN,112.508,1327,157,3.28696,0.717319,131,
2,AKAZE,ORB,MAT_BF,SEL_KNN,114.669,1311,161,3.36122,0.705778,129,
3,AKAZE,ORB,MAT_BF,SEL_KNN,114.886,1351,155,4.25795,0.723499,127,
4,AKAZE,ORB,MAT_BF,SEL_KNN,112.041,1360,163,3.41778,0.686508,117,
5,AKAZE,ORB,MAT_BF,SEL_KNN,112.749,1347,164,3.32173,1.22013,130,
6,AKAZE,ORB,MAT_BF,SEL_KNN,111.298,1363,173,3.62217,0.770168,131,
7,AKAZE,ORB,MAT_BF,SEL_KNN,113.153,1331,175,3.43587,0.840142,137,
8,AKAZE,ORB,MAT_BF,SEL_KNN,114.423,1357,177,3.57293,0.875272,135,
9,AKAZE,ORB,MAT_BF,SEL_KNN,112.982,1331,179,3.45543,0.867765,145,

0,AKAZE,FREAK,MAT_BF,SEL_KNN,114.433,1351,166,48.5884,4.94066e-324,-1310888880,
1,AKAZE,FREAK,MAT_BF,SEL_KNN,114.276,1327,157,49.9084,0.831146,126,
2,AKAZE,FREAK,MAT_BF,SEL_KNN,115.544,1311,161,48.0687,0.756461,129,
3,AKAZE,FREAK,MAT_BF,SEL_KNN,116.87,1351,155,47.9456,0.768145,127,
4,AKAZE,FREAK,MAT_BF,SEL_KNN,116.963,1360,163,48.1863,0.736729,121,
5,AKAZE,FREAK,MAT_BF,SEL_KNN,115.977,1347,164,53.4735,0.828186,122,
6,AKAZE,FREAK,MAT_BF,SEL_KNN,105.848,1363,173,49.4443,0.840186,133,
7,AKAZE,FREAK,MAT_BF,SEL_KNN,111.861,1331,175,48.7917,0.88104,144,
8,AKAZE,FREAK,MAT_BF,SEL_KNN,117.101,1357,177,48.8458,0.900191,147,
9,AKAZE,FREAK,MAT_BF,SEL_KNN,118.398,1331,179,53.2065,0.9045,138,

0,AKAZE,AKAZE,MAT_BF,SEL_KNN,115.373,1351,166,100.647,4.94066e-324,-1310888880,
1,AKAZE,AKAZE,MAT_BF,SEL_KNN,107.536,1327,157,99.7777,0.911157,138,
2,AKAZE,AKAZE,MAT_BF,SEL_KNN,103.573,1311,161,98.5471,0.853529,138,
3,AKAZE,AKAZE,MAT_BF,SEL_KNN,101.614,1351,155,94.0006,0.841272,133,
4,AKAZE,AKAZE,MAT_BF,SEL_KNN,105.475,1360,163,98.3112,0.851679,127,
5,AKAZE,AKAZE,MAT_BF,SEL_KNN,107.899,1347,164,99.0011,0.882225,129,
6,AKAZE,AKAZE,MAT_BF,SEL_KNN,102.873,1363,173,97.2713,0.930543,146,
7,AKAZE,AKAZE,MAT_BF,SEL_KNN,109.34,1331,175,97.0655,0.972411,147,
8,AKAZE,AKAZE,MAT_BF,SEL_KNN,101.503,1357,177,97.2144,1.00609,151,
9,AKAZE,AKAZE,MAT_BF,SEL_KNN,102.19,1331,179,91.5286,1.05311,150,

0,AKAZE,SIFT,MAT_BF,SEL_KNN,116.497,1351,166,36.4016,4.94066e-324,-1310888880,
1,AKAZE,SIFT,MAT_BF,SEL_KNN,104.358,1327,157,35.1577,1.32772,134,
2,AKAZE,SIFT,MAT_BF,SEL_KNN,103.249,1311,161,35.6872,1.31423,134,
3,AKAZE,SIFT,MAT_BF,SEL_KNN,107.893,1351,155,34.5499,1.4769,130,
4,AKAZE,SIFT,MAT_BF,SEL_KNN,100.553,1360,163,35.3763,1.30629,136,
5,AKAZE,SIFT,MAT_BF,SEL_KNN,98.3451,1347,164,34.989,1.42489,137,
6,AKAZE,SIFT,MAT_BF,SEL_KNN,103.466,1363,173,35.6876,1.44598,147,
7,AKAZE,SIFT,MAT_BF,SEL_KNN,105.62,1331,175,36.0627,1.51551,147,
8,AKAZE,SIFT,MAT_BF,SEL_KNN,107.491,1357,177,37.1785,1.85911,154,
9,AKAZE,SIFT,MAT_BF,SEL_KNN,101.015,1331,179,37.1386,2.22299,151,

0,SIFT,BRISK,MAT_BF,SEL_KNN,169.145,1438,138,1.70339,4.94066e-324,-1310888880,
1,SIFT,BRISK,MAT_BF,SEL_KNN,144.661,1371,132,1.67046,0.574961,64,
2,SIFT,BRISK,MAT_BF,SEL_KNN,167.209,1380,124,1.57814,0.585254,66,
3,SIFT,BRISK,MAT_BF,SEL_KNN,167.729,1335,137,1.78656,0.579033,62,
4,SIFT,BRISK,MAT_BF,SEL_KNN,168.305,1305,134,1.69459,0.604785,66,
5,SIFT,BRISK,MAT_BF,SEL_KNN,167.994,1370,140,1.79014,0.644027,59,
6,SIFT,BRISK,MAT_BF,SEL_KNN,168.911,1396,137,1.69579,0.666572,64,
7,SIFT,BRISK,MAT_BF,SEL_KNN,169.589,1382,148,1.82649,0.677786,64,
8,SIFT,BRISK,MAT_BF,SEL_KNN,171.671,1463,159,1.93035,0.710914,67,
9,SIFT,BRISK,MAT_BF,SEL_KNN,171.047,1422,137,2.00383,0.679519,80,

0,SIFT,BRIEF,MAT_BF,SEL_KNN,169.431,1438,138,0.76792,4.94066e-324,-1310888880,
1,SIFT,BRIEF,MAT_BF,SEL_KNN,170.405,1371,132,0.750073,0.55037,86,
2,SIFT,BRIEF,MAT_BF,SEL_KNN,170.138,1380,124,0.793287,0.491809,78,
3,SIFT,BRIEF,MAT_BF,SEL_KNN,167.229,1335,137,0.78181,0.51316,76,
4,SIFT,BRIEF,MAT_BF,SEL_KNN,176.621,1305,134,0.750982,0.537606,85,
5,SIFT,BRIEF,MAT_BF,SEL_KNN,170.278,1370,140,0.825401,0.563889,69,
6,SIFT,BRIEF,MAT_BF,SEL_KNN,171.842,1396,137,0.764051,0.567994,74,
7,SIFT,BRIEF,MAT_BF,SEL_KNN,171.168,1382,148,0.811144,0.576769,76,
8,SIFT,BRIEF,MAT_BF,SEL_KNN,173.974,1463,159,0.852443,0.65351,70,
9,SIFT,BRIEF,MAT_BF,SEL_KNN,172.509,1422,137,0.768891,0.63645,88,

0,SIFT,FREAK,MAT_BF,SEL_KNN,168.518,1438,138,48.2653,4.94066e-324,-1310888880,
1,SIFT,FREAK,MAT_BF,SEL_KNN,170.777,1371,132,48.5946,0.592304,65,
2,SIFT,FREAK,MAT_BF,SEL_KNN,169.17,1380,124,48.4293,0.577434,72,
3,SIFT,FREAK,MAT_BF,SEL_KNN,172.85,1335,137,47.7337,0.554896,64,
4,SIFT,FREAK,MAT_BF,SEL_KNN,171.055,1305,134,47.8302,0.605064,66,
5,SIFT,FREAK,MAT_BF,SEL_KNN,171.831,1370,140,48.7492,0.619291,59,
6,SIFT,FREAK,MAT_BF,SEL_KNN,172.205,1396,137,47.9096,0.6153,59,
7,SIFT,FREAK,MAT_BF,SEL_KNN,175.338,1382,148,48.5737,0.686146,64,
8,SIFT,FREAK,MAT_BF,SEL_KNN,170.974,1463,159,47.8671,0.696088,65,
9,SIFT,FREAK,MAT_BF,SEL_KNN,171.524,1422,137,47.596,0.67216,79,

0,SIFT,SIFT,MAT_BF,SEL_KNN,172.213,1438,138,92.4221,4.94066e-324,-1310888880,
1,SIFT,SIFT,MAT_BF,SEL_KNN,133.619,1371,132,95.4757,0.955395,82,
2,SIFT,SIFT,MAT_BF,SEL_KNN,138.973,1380,124,102.394,0.886826,81,
3,SIFT,SIFT,MAT_BF,SEL_KNN,134.908,1335,137,100.859,0.914813,85,
4,SIFT,SIFT,MAT_BF,SEL_KNN,134.412,1305,134,99.6833,0.951746,93,
5,SIFT,SIFT,MAT_BF,SEL_KNN,140.128,1370,140,103.24,1.00034,90,
6,SIFT,SIFT,MAT_BF,SEL_KNN,142.051,1396,137,100.45,1.03124,81,
7,SIFT,SIFT,MAT_BF,SEL_KNN,141.241,1382,148,101.609,1.07968,82,
8,SIFT,SIFT,MAT_BF,SEL_KNN,151.901,1463,159,94.3318,1.24545,102,
9,SIFT,SIFT,MAT_BF,SEL_KNN,153.634,1422,137,113.233,1.1603,104,

