Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,
7,HARRIS,BRISK,MAT_BF,SEL_KNN,12.7709,806,136,1.75296,0.246979,22,
8,HARRIS,BRISK,MAT_BF,SEL_KNN,12.6091,572,96,1.31046,0.470476,71,
9,HARRIS,BRISK,MAT_BF,SEL_KNN,12.7278,1471,194,2.3309,0.570947,58,

0,HARRIS,BRIEF,MAT_BF,SEL_KNN,12.8995,339,51,0.454858,4.94066e-324,-1310888880,
1,HARRIS,BRIEF,MAT_BF,SEL_KNN,12.9567,286,41,0.397567,0.172056,26,
2,HARRIS,BRIEF,MAT_BF,SEL_KNN,12.7715,349,63,0.514435,0.174199,20,
3,HARRIS,BRIEF,MAT_BF,SEL_KNN,11.0962,356,58,0.447701,0.219393,48,
4,HARRIS,BRIEF,MAT_BF,SEL_KNN,11.3406,521,85,0.525551,0.237972,30,
5,HARRIS,BRIEF,MAT_BF,SEL_KNN,13.3677,2611,322,1.40037,0.747431,26,
6,HARRIS,BRIEF,MAT_BF,SEL_KNN,12.5592,200,38,0.459141,0.501816,113,
7,HARRIS,BRIEF,MAT_BF,SEL_KNN,11.6674,806,136,0.693641,0.231061,17,
8,HARRIS,BRIEF,MAT_BF,SEL_KNN,13.675,572,96,0.597448,0.435642,73,
9,HARRIS,BRIEF,MAT_BF,SEL_KNN,13.0315,1471,194,0.917123,0.552607,52,

0,HARRIS,ORB,MAT_BF,SEL_KNN,11.3664,339,51,0.92665,4.94066e-324,-1310888880,
1,HARRIS,ORB,MAT_BF,SEL_KNN,11.2101,286,41,0.905384,0.170289,28,
2,HARRIS,ORB,MAT_BF,SEL_KNN,12.8775,349,63,0.921311,0.174021,22,
3,HARRIS,ORB,MAT_BF,SEL_KNN,18.9033,356,58,1.52759,0.203214,36,
4,HARRIS,ORB,MAT_BF,SEL_KNN,11.5871,521,85,1.41792,0.209095,29,
5,HARRIS,ORB,MAT_BF,SEL_KNN,12.468,2611,322,1.54647,0.795645,26,
6,HARRIS,ORB,MAT_BF,SEL_KNN,11.3767,200,38,0.885361,0.486208,105,
7,HARRIS,ORB,MAT_BF,SEL_KNN,13.388,806,136,1.0771,0.231145,18,
8,HARRIS,ORB,MAT_BF,SEL_KNN,11.8113,572,96,1.44711,0.698321,78,
9,HARRIS,ORB,MAT_BF,SEL_KNN,11.7462,1471,194,1.16942,0.528537,63,

0,HARRIS,FREAK,MAT_BF,SEL_KNN,12.5805,339,51,47.9094,4.94066e-324,-1310888880,
1,HARRIS,FREAK,MAT_BF,SEL_KNN,11.3669,286,41,44.6517,0.19216,29,
2,HARRIS,FREAK,MAT_BF,SEL_KNN,11.8711,349,63,45.2199,0.209177,27,
3,HARRIS,FREAK,MAT_BF,SEL_KNN,13.5695,356,58,45.1064,0.231252,36,
4,HARRIS,FREAK,MAT_BF,SEL_KNN,11.9197,521,85,45.5197,0.27302,33,
5,HARRIS,FREAK,MAT_BF,SEL_KNN,14.3851,2611,322,49.0981,0.783167,35,
6,HARRIS,FREAK,MAT_BF,SEL_KNN,11.9242,200,38,44.8411,0.571465,98,
7,HARRIS,FREAK,MAT_BF,SEL_KNN,14.0907,806,136,47.4719,0.280512,22,
8,HARRIS,FREAK,MAT_BF,SEL_KNN,12.1214,572,96,45.8884,0.528977,88,
9,HARRIS,FREAK,MAT_BF,SEL_KNN,14.3186,1471,194,47.5317,0.582432,58,

0,HARRIS,SIFT,MAT_BF,SEL_KNN,11.8433,339,51,15.8812,4.94066e-324,-1310888880,
1,HARRIS,SIFT,MAT_BF,SEL_KNN,12.5528,286,41,15.7569,0.191585,30,
2,HARRIS,SIFT,MAT_BF,SEL_KNN,13.5099,349,63,15.6285,0.216541,26,
3,HARRIS,SIFT,MAT_BF,SEL_KNN,17.1084,356,58,18.5534,0.271507,37,
4,HARRIS,SIFT,MAT_BF,SEL_KNN,13.4129,521,85,15.0125,0.336841,30,
5,HARRIS,SIFT,MAT_BF,SEL_KNN,13.4315,2611,322,16.9015,1.38878,24,
6,HARRIS,SIFT,MAT_BF,SEL_KNN,17.7029,200,38,18.7432,0.754503,105,
7,HARRIS,SIFT,MAT_BF,SEL_KNN,12.7674,806,136,17.6842,0.323629,25,
8,HARRIS,SIFT,MAT_BF,SEL_KNN,12.8857,572,96,15.042,0.735804,79,
9,HARRIS,SIFT,MAT_BF,SEL_KNN,17.0095,1471,194,16.7819,0.962207,50,

0,FAST,BRISK,MAT_BF,SEL_KNN,2.34126,5063,419,4.66794,4.94066e-324,-1310888880,
1,FAST,BRISK,MAT_BF,SEL_KNN,2.44425,4952,427,4.72733,4.16629,256,
2,FAST,BRISK,MAT_BF,SEL_KNN,2.03668,4863,404,4.64531,4.04116,243,
3,FAST,BRISK,MAT_BF,SEL_KNN,2.05516,4840,423,4.78999,3.97804,241,
4,FAST,BRISK,MAT_BF,SEL_KNN,2.02442,4856,386,4.37443,3.91471,239,
5,FAST,BRISK,MAT_BF,SEL_KNN,2.12961,4899,414,4.64528,3.74415,215,
6,FAST,BRISK,MAT_BF,SEL_KNN,2.40427,4870,418,4.76669,4.00861,251,
7,FAST,BRISK,MAT_BF,SEL_KNN,2.03153,4868,406,4.5355,4.00571,248,
8,FAST,BRISK,MAT_BF,SEL_KNN,2.09801,4996,396,4.42636,3.79104,243,
9,FAST,BRISK,MAT_BF,SEL_KNN,2.36507,4997,401,4.46056,3.70772,247,

0,FAST,BRIEF,MAT_BF,SEL_KNN,2.38431,5063,419,1.64256,4.94066e-324,-1310888880,
1,FAST,BRIEF,MAT_BF,SEL_KNN,2.44103,4952,427,2.47976,3.88338,320,
2,FAST,BRIEF,MAT_BF,SEL_KNN,2.03336,4863,404,2.00759,3.7532,332,
3,FAST,BRIEF,MAT_BF,SEL_KNN,2.74935,4840,423,1.71083,3.76295,299,
4,FAST,BRIEF,MAT_BF,SEL_KNN,1.98828,4856,386,1.63354,3.60054,331,
5,FAST,BRIEF,MAT_BF,SEL_KNN,2.18899,4899,414,1.74714,3.52463,276,
6,FAST,BRIEF,MAT_BF,SEL_KNN,2.06708,4870,418,1.62836,4.09839,327,
7,FAST,BRIEF,MAT_BF,SEL_KNN,2.00767,4868,406,2.09924,3.70731,324,
8,FAST,BRIEF,MAT_BF,SEL_KNN,2.04847,4996,396,1.62153,3.47671,315,
9,FAST,BRIEF,MAT_BF,SEL_KNN,2.17325,4997,401,1.7266,3.68115,307,

0,FAST,ORB,MAT_BF,SEL_KNN,2.01916,5063,419,1.58012,4.94066e-324,-1310888880,
1,FAST,ORB,MAT_BF,SEL_KNN,2.63311,4952,427,2.42071,4.27312,307,
2,FAST,ORB,MAT_BF,SEL_KNN,2.02802,4863,404,1.51717,3.8038,308,
3,FAST,ORB,MAT_BF,SEL_KNN,2.00768,4840,423,1.52882,3.75548,298,
4,FAST,ORB,MAT_BF,SEL_KNN,1.9598,4856,386,1.47493,3.58678,321,
5,FAST,ORB,MAT_BF,SEL_KNN,2.04591,4899,414,1.55264,3.5131,283,
6,FAST,ORB,MAT_BF,SEL_KNN,2.03935,4870,418,1.54581,3.80377,315,
7,FAST,ORB,MAT_BF,SEL_KNN,2.03465,4868,406,1.51138,3.73941,323,
8,FAST,ORB,MAT_BF,SEL_KNN,2.04524,4996,396,1.49032,3.54756,302,
9,FAST,ORB,MAT_BF,SEL_KNN,2.14746,4997,401,1.5107,3.61406,311,

0,FAST,FREAK,MAT_BF,SEL_KNN,2.08413,5063,419,49.208,4.94066e-324,-1310888880,
1,FAST,FREAK,MAT_BF,SEL_KNN,1.98042,4952,427,49.109,4.12742,251,
2,FAST,FREAK,MAT_BF,SEL_KNN,2.15644,4863,404,49.6349,4.38386,247,
3,FAST,FREAK,MAT_BF,SEL_KNN,2.08679,4840,423,50.7447,3.97909,233,
